label,pca_x,pca_y,tsne_x,tsne_y,lda_x,lda_y,umap_x,umap_y
B6,3691.549978389343,-740.6662345325786,34.601894,30.25896,5.457919708462343,-0.7554550040876791,12.008698,-3.8772824
B6,-7897.103916340955,-74.07340409207663,-50.403973,1.547776,5.509408143734708,-1.0535009245113531,4.4638405,-4.3724847
B6,2636.993772879316,-1530.2467406923668,11.31001,-1.4088318,5.378279155018419,-0.29444775209686114,10.219504,-3.7861543
B6,-2632.528864832009,-701.1592501216678,-23.82523,-27.907589,5.434155930435219,-0.6178960152125899,6.8841224,-3.4364038
B6,673.3640367047435,-1157.5628059990158,18.260017,-23.696318,5.480205370304856,-0.8844577706501036,9.848969,-2.7525444
B6,1992.9459627083295,759.6794423524283,18.386387,25.646906,6.219848786200541,-5.165957130841072,10.28539,-3.7664104
B6,4024.6744170590428,-2348.584638926339,37.945866,-24.112896,5.522499642695854,-1.1292823662460285,11.763024,-1.8427174
B6,-3023.6784259698056,436.54132789883647,-31.210579,-1.8050957,6.8589933163058125,-8.865708711001297,6.693265,-4.587967
B6,1403.4589731341307,100.09334576242877,7.7770495,1.655946,5.395233896037761,-0.39259195410871794,9.291324,-3.9821656
B6,-6500.146487017696,-2593.089076118248,-49.415104,-6.403996,5.485287081595979,-0.9138737610771981,4.894439,-3.345834
B6,-7058.565545812358,221.1968072477331,-55.081932,1.4112387,-0.1447510437636481,-1.8268664470487561,4.960974,-2.9186416
B6,-2731.3030574859163,563.4457157491172,-21.57492,9.795982,5.4477119948271024,-0.6963666400750426,6.652478,-5.080332
B6,-1252.9069786766981,-738.8289256787314,0.98715824,-1.7520556,5.413710287368621,-0.49954438004988866,8.1220875,-3.9152317
B6,-202.40084528320142,-742.470878895702,4.3474874,-21.214634,5.3407782230269385,-0.07736988338634032,8.991001,-2.9694011
B6,1140.95036843659,-5260.737903852757,10.241228,-29.432981,5.5088220353252755,-1.0501081777821333,9.098489,-1.7147404
B6,-4489.798125937756,-853.8565706928647,-34.655636,-7.564562,5.421929454407049,-0.547121844622835,6.388799,-3.6681318
B6,-214.98069592394484,-3100.603351002441,5.472816,-19.796114,5.452300898683373,-0.7229299657293338,9.106345,-2.5751812
B6,2445.742911054674,-1735.7099258867165,19.792898,-15.905978,5.3472169761441775,-0.11464124517973806,10.435925,-2.6681778
B6,2859.3502446464972,155.88675798274858,25.575474,20.363789,5.3592171130997395,-0.18410522957192055,10.311013,-4.0742235
B6,0.39270609475069396,-0.8081120219240504,0.84604394,-10.688153,5.431023372392229,-0.5997628919146978,8.686199,-3.8549216
B6,168.07400597114048,-3207.1124273116584,20.812056,-30.863506,5.451819741626562,-0.7201447403262469,9.551356,-2.2660034
B6,1645.0560799180068,-1906.5239079155144,10.230864,-23.53733,5.490543911822655,-0.9443034448524377,9.764068,-2.6651886
B6,4907.860744021826,1412.4157756850095,53.643856,21.544762,5.4319016085977525,-0.6048466493998945,12.339356,-4.5315228
B6,4606.97942469714,596.1234239562782,33.975792,-0.80421966,5.726236960853805,-2.308636063708579,12.219791,-3.8354747
B6,-3541.2470584229304,-1156.7472054514637,-35.313297,-10.846502,5.482484875609769,-0.8976529134641984,5.9399085,-3.2181191
